Tool name,Organization,Website,sub_module,Environmental indicators,Quick Description,Assessment Type,Perimeters,Assessed Functional Units,data_entry_points,ghg_scope,life_cycle_assessment,Life Cycle Step,Main focus,Focus,Licence,Self-Hostable,Originating Country,Logo,Inside Model,Methodology Transparency,Status,Creator,Creation date,Sources,Creator_comment,reviewer_1,review_1_date,review_1_explanation,reviewer_2,review_2_date,review_2_explanation,Linked Publications
CO2.js,Green Web Foundation,https://www.thegreenwebfoundation.org/co2-js/,,GWP (CO2eq),"Javascript lib to evaluate a webpage based on bandwidth. Use Sustainable Webdesign model by default, OneByte Model as an Option.",Evaluation,Software - Web Content,Website,"Bandwidth,User localization,Datacenter Localization",Scope 2,No,Usage,Calculation,"Awareness,Calculation,Reporting",Open-Source (Apache 2.0),Yes,European Union,,"OneByte,Sustainable Webdesign",Fully Disclosed,Draft,Youen Chéné,2024-04-19,https://github.com/thegreenwebfoundation/co2.js/,,Youen Chéné,2024-04-19,,,,,0
EcoIndex,Greenit.fr,https://www.ecoindex.fr/,,"GWP (CO2eq),Final Energy (J/Wh),Water Depletion",First website environnemental evaluation (2024).,"Evaluation,BestPractices",Software - Web Content,Website,"Bandwidth,DOM Size,Request Number","Scope 3,Scope 2",Yes,"Usage,Manufacturing,Extraction",Eco-design,"Collection,Eco-design,Calculation,Reporting",Creative Commons (CC-BY-NC-ND),Yes,France,,EcoIndex,Undisclosed,Draft,Youen Chéné,2024-04-19,"https://www.ecoindex.fr/comment-ca-marche/
https://blog.octo.com/sous-le-capot-de-la-mesure-ecoindex","

Note :
 - Not personnalized recommendation
 - Open source Code,
 - Life Cycle Study undisclosed.",Youen Chéné,2024-04-19,,,,,0
Ecograder,Mightybyte,https://ecograder.com/,,GWP (CO2eq),"Multiple evaluation :
 - environnemental
-  UX
 - GreenHosting",Evaluation,Software - Web Content,Website,"Bandwidth,Datacenter Localization",Scope 2,No,Usage,Eco-design,"Awareness,Calculation",Closed Source / Commercial,No,USA,chrome_MCzdBbEC68.png(https://db.boavizta.org/dltemp/BXTrq6gyfUdxpy5t/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/v-ljecIyGqcogVXLIH.png),"CO2.js,Lighthouse",Fully Disclosed,Draft,Youen Chéné,2024-04-19,https://ecograder.com/how-it-works,Use Lighthouse for UX Design evaluation and page weight,Youen Chéné,2024-04-19,,,,,0
Fruggr,Digital4Better,https://www.fruggr.io/,Infrastructure (Name to check with Fruggr),"GWP (CO2eq),Water Depletion,Final Energy (J/Wh)","A platform to measure, manage and improve your IT's environmental and social footprint via automated data collection","Evaluation,BestPractices","Infra - Datacenter,Infra - Cloud,Infra - Network","Machine,Application,Process (System)","Server plan,CPU - RAM - I/O (raw),Bandwidth,Datacenter Localization,PUE,WUE,Mutualization rate",TBQ,TBQ,"Extraction,Manufacturing,Transport,Usage,End of Life",Eco-design,"Awareness,Collection,Calculation",Closed Source / Commercial,No,France,logo-fruggr.jpg(https://db.boavizta.org/dltemp/eFBzC6LM8D8Df2D5/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/iexnLqHz3DladCRYzl.jpg),"Cloud Jewels,Negaoctet",Disclosed - Internal / Clients,Draft,Youen Chéné,2024-04-26,Interview with Ronan Robe and Jérôme Lucas,On Premises measure point possible,Youen Chéné,2024-04-26,,,,,0
Fruggr,Digital4Better,https://www.fruggr.io/,Installed Devices  (Name to check with Fruggr),"GWP (CO2eq),Water Depletion,Final Energy (J/Wh)","A platform to measure, manage and improve your IT's environmental and social footprint via automated data collection","Evaluation,BestPractices",Equipment - End-user Devices,,"Devices Inventory,CPU - RAM - I/O (capacity)",TBQ,TBQ,"Manufacturing,Extraction,Transport,Usage,End of Life",Eco-design,"Calculation,Awareness,Collection",Closed Source / Commercial,No,France,logo-fruggr.jpg(https://db.boavizta.org/dltemp/XwmUw4sYH-1PCcfz/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/eBWEpBT2auVJ8iz3WK.jpg),Negaoctet,Disclosed - Internal / Clients,Draft,Youen Chéné,2024-04-26,Interview with Ronan Robe and Jérôme Lucas,On Premises measure point possible,Youen Chéné,2024-04-26,,,,,0
Fruggr,Digital4Better,https://www.fruggr.io/,Digital Services  (Name to check with Fruggr),"GWP (CO2eq),Water Depletion,Final Energy (J/Wh)","A platform to measure, manage and improve your IT's environmental and social footprint via automated data collection","Evaluation,BestPractices","Software - Web Apps,Software - Web Content,Software - API,Software - CI/CD,Software - Development tools","User Story,Website,Feature","Bandwidth,DOM Size,Request Number,User Journey Modelisation,User localization,Datacenter Localization,Connexion type,Traffic/Usage",TBQ,TBQ,"Usage,Manufacturing,Transport,End of Life",Eco-design,"Awareness,Collection,Calculation",Closed Source / Commercial,No,France,logo-fruggr.jpg(https://db.boavizta.org/dltemp/TDL9ARjGl4-J-nF1/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/A_1LCnyrcXb0RnzDLF.jpg),,Disclosed - Internal / Clients,Draft,Youen Chéné,2023-12-26,Interview with Ronan Robe and Jérôme Lucas,On Premises measure point possible,Youen Chéné,2024-04-26,,,,,0
Greenoco,Greenoco,https://greenoco.io/,,GWP (CO2eq),,Evaluation,Software - Web Content,Website,"Request Number,Bandwidth,Datacenter Localization,PUE,Traffic/Usage",Scope 2,No,Usage,Eco-design,Calculation,Closed Source / Commercial,No,France,logo-greenoco.png(https://db.boavizta.org/dltemp/2JD2dy073qNtByBu/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/_RZOFPHEa8D8aB_0sf.png),,Fully Disclosed,Draft,Youen Chéné,2024-04-26,"https://greenoco.io/faq-aide-greenoco-mesure-reduire-pollution-numerique/
https://greenoco.io/methodologie-de-calcul-empreinte-carbone-site-web/",,Youen Chéné,2024-04-26,,,,,0
Sopht,Sopht,https://sopht.com/,,"GWP (CO2eq),Water Depletion,ADPe (Sbeq)","Sopht is a 360° GreenOps solution helping IT organizations measure, pilot and reduce their environmental footprint. We demonstrate the convergence between driving an IT decarbonation journey and optimizing the cost related to IT operations.",Evaluation,"Infra - Datacenter,Infra - Cloud,Equipment - End-user Devices,Infra - Network",,"Devices Inventory,PUE,Datacenter Localization,User localization,CPU based (RAPL),Server plan","Scope 2,Scope 3",Partially,"Extraction,Manufacturing,Usage,End of Life",Calculation,Awareness,Closed Source / Commercial,TBQ,France,POWERPNT_B2lhcLAWBB.png(https://db.boavizta.org/dltemp/ZL4-E6eC6g2fX0VV/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/NfwjTG1OY2R89qZHv2.png),TBQ,Disclosed - Internal / Clients,Draft,Benoit Petit,2024-02-16,,,Océane PUECH,2024-04-29,,,,,0
EcoDiag,EcoInfo CNRS,https://ecoinfo.cnrs.fr/ecodiag-calcul/,,GWP (CO2eq),A simple to use tool to compute carbon footprint of a set of predefind IT equipment.,Evaluation,"Infra - Datacenter,Equipment - End-user Devices",TBQ,Devices Inventory,"Scope 2,Scope 3",Partially,"Manufacturing,Transport,Usage",Calculation,Awareness,TBQ,No,France,,,Fully Disclosed,Draft,Gaël Duez,,,,François Moriamez,2024-04-19,"Pour tester le processus de relecture. Pas de champs modifiés, juste des champs remplis (il me semble...)",,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AppYplanet,AppYuser,https://www.appyuser.com/appyplanet/,,"ADPf (MJ),GWP (CO2eq),Water Depletion,Primary Energy (J),Product Environmental Footprint Score","AppYplanet relies on its RUM technology to collect all your visitors’ viewing data and calculate your site’s real impact on the environment.
appYplanet is the very first SaaS tool to exhaustively calculate the sum of all the environmental impacts of a digital device, and to deliver a hyper-simple indicator for management, CSR, marketing and IT departments.
The indicators are standardized (lifecycle LCA) to ensure complete transparency for customers, web users and employees, and to justify a sincere ecological approach.
Fonctionnement appYplanet	",Evaluation,"Software - Web Content,Software - Web Apps",Website,TBQ,TBQ,Yes,TBQ,Calculation,,Business Source (non permissive licence),TBQ,France,appyuser-logo-white-vecto-1140x456.png(https://db.boavizta.org/dltemp/5oX2AIjPSAPH2rdO/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/umF7OOvRtuXMFCwzsz.png),TBQ,TBQ,Draft,Gael Duez,2024-04-12,,,,,,,,,0
Boagent,Boavizta,https://github.com/Boavizta/boagent,,"GWP (CO2eq),ADPe (Sbeq),Final Energy (J/Wh),Primary Energy (J)","An agent an API collecting hardware characteristics of the local machine, getting its electricity consumption and providing the estimation of environmental impacts this machine has on a given period of time, including both manufacturing and usage phases of its life.",Evaluation,"Infra - Datacenter,Software - CI/CD,Software - Backend","Machine,Team,Project,Process (System),Application",,,,"Extraction,Manufacturing,Usage,End of Life",Calculation,"Awareness,Calculation,Eco-design,Collection",Open-Source (Apache 2.0),Yes,France,boagent_color.png(https://db.boavizta.org/dltemp/33eV6CqoQdFwLJdq/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/rgCkYX6NHEZ6Y-2qZv.png),,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
BoaviztAPI,Boavizta,https://doc.api.boavizta.org/,,"GWP (CO2eq),ADPf (MJ),ADPe (Sbeq),Water Depletion",,Evaluation,"Infra - Datacenter,Equipment - End-user Devices,Equipment - IoT,Infra - Cloud",Machine,,,,"Extraction,Manufacturing,Usage,End of Life",Calculation,"Awareness,Calculation,Eco-design",,Yes,France,boaviztapi_color.png(https://db.boavizta.org/dltemp/Wu7SOVxUnIS1zQp4/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/nCSehhBqMdP5bHcjgv.png),,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
CAST Highlight,CAST Software,https://www.castsoftware.com/pulse/decarbonizing-software-how-cast-applied-the-sci-metric-to-make-a-difference,SCI metric (Software Carbon Impact),GWP (CO2eq),"CAST Highlight assesses various aspects of software, including technical debt, cloud maturity, software composition, and environmental impact. The introduction of Green Software Insights within CAST Highlight supported our collective mission to quantify and reduce the carbon emissions associated with software applications.","Evaluation,Measure","Software - Backend,Software - API,Software - Mobile Apps,Software - Web Apps",Application,TBQ,"Scope 2,Scope 3",TBQ,"Extraction,Manufacturing,Transport,Usage,End of Life",Calculation,Awareness,Closed Source / Commercial,Not Applicable,France,cast.jpg(https://db.boavizta.org/dltemp/oVA2r2q4VzlRcrYY/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/4POs-apt8JXi_2PEtI.jpg),TBQ,Disclosed - Internal / Clients,Draft,Maël Levet,2024-04-25,,,,,,,,,0
Calculator Green Algorithms,"Lannelongue, L., Grealey, J., Inouye, M",http://calculator.green-algorithms.org/,,GWP (CO2eq),,Evaluation,Software - Backend,Application,,,,Usage,Awareness,"Calculation,Awareness,Reporting",Creative Commons (CC-BY),Yes,,,,Fully Disclosed,Draft,Benoit Petit,2024-02-11,,,,,,,,,0
Carbon Aware SDK,Green Software Foundation,https://github.com/Green-Software-Foundation/carbon-aware-sdk,,GWP (CO2eq),,Evaluation,"Infra - Datacenter,Software - Backend","Application,Feature",,,,Usage,Calculation,"Calculation,Collection",Open-Source (MIT),Yes,USA,,,Fully Disclosed,Draft,Benoit Petit,2024-02-11,,,,,,,,,0
Carbon Facts,Qarnot,https://qarnot.com/en/low-carbon,,GWP (CO2eq),Carbon Facts are an energy consumption management tool developed by Qarnot to issue detailed reports on the energy expenses and savings of computations on the cloud platform.,Evaluation,Infra - Datacenter,"Machine,Room",,,,Usage,Reporting,Calculation,Closed Source / Commercial,No,France,,,Undisclosed,Draft,Gaël Duez,2024-02-12,,,,,,,,,0
Carbonalyzer,The Shift Project,https://theshiftproject.org/en/carbonalyser-browser-extension/,,GWP (CO2eq),"Outdated, say it's creators. Don't rely on the results produced.",Evaluation,Software - Web Content,"Request (HTTP),User,Website",,,,"Usage,Manufacturing",Awareness,"Awareness,Calculation",Open-Source (MIT),Not Applicable,France,IconePlugin%20(1).png(https://db.boavizta.org/dltemp/T7vTOlf6Kyva0_Hq/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/F4hHQx5Ut1HSxI6iVe.png),,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
Cloud Carbon Footprint,Thoughtworks,https://www.cloudcarbonfootprint.org/,,GWP (CO2eq),"Cloud Carbon Footprint is an open source tool that provides visibility and tooling to measure, monitor and reduce your cloud carbon emissions. We use best practice methodologies to convert cloud utilization into estimated energy usage and carbon emissions, producing metrics and carbon savings estimates that can be shared with employees, investors, and other stakeholders.",Evaluation,Infra - Cloud,"Project,Application,Team,Machine",,,,"Extraction,Manufacturing,Usage",Reporting,"Collection,Calculation,Reporting",Open-Source (Apache 2.0),Yes,USA,,,Fully Disclosed,Draft,Gaël Duez,2023-12-18,,,,,,,,,0
Cloud-Scanner,Boavizta,https://boavizta.github.io/cloud-scanner/,,"ADPf (MJ),ADPe (Sbeq),Primary Energy (J),Water Depletion,GWP (CO2eq)",,Evaluation,Infra - Cloud,"Machine,Project,Team",,,,"Extraction,Manufacturing,Usage,End of Life",Calculation,"Reporting,Calculation,Collection",Open-Source (AGPLv3),Yes,France,cloudscanner_color.png(https://db.boavizta.org/dltemp/37RN568tRIO8oMCT/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/caHDXSfRwHE4wVX45D.png),,Fully Disclosed,Draft,Gaël Duez,2023-12-18,,,,,,,,,0
Cloud-assess,Resilio / Kleis Technology,https://www.cloudassess.org/,,"Water Depletion,GWP (CO2eq),ADPf (MJ),ADPe (Sbeq),Primary Energy (J),Final Energy (J/Wh)",,Evaluation,Software - Backend,"Machine,Room,Project,Application",,,,"Extraction,Manufacturing,Transport,Usage,End of Life",Calculation,"Reporting,Calculation,Awareness",Open-Source (Apache 2.0),Yes,Switzerland,Cloud-Assess-Main-Logo.webp(https://db.boavizta.org/dltemp/UKKJg4Y4yLCd24P0/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/IGhSimH_8WRLAbP7Ac.webp),,Disclosed - Internal / Clients,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
Datavizta,Boavizta,https://dataviz.boavizta.org/,Servers Clouds User devices,"GWP (CO2eq),Primary Energy (J),ADPe (Sbeq)","The impact assessment tool provides an understanding of the environmental impacts of servers, cloud instances and user terminals on several criteria (at least Global Warming Potential, Primary Energy and Abiotic Resource Depletion Potential), over two life cycle phases (use, manufacturing) based on their technical characteristics and context of use.",Evaluation,"Infra - Cloud,Infra - Network,Infra - Datacenter,Equipment - End-user Devices,Equipment - IoT",Machine,"CPU based (RAPL),CPU - RAM - I/O (raw),Devices Inventory,CPU capacity,RAM capacity","Scope 1,Scope 2,Scope 3",Partially,"Manufacturing,Usage",Calculation,Eco-design,Open-Source (AGPLv3),Yes,France,,TBQ,Fully Disclosed,Draft,François Moriamez,2024-04-18,,,,,,,,,0
Digital Carbon Online,ssps.co,https://www.digitalcarbon.online/,,GWP (CO2eq),,Evaluation,Software - Web Apps,,,,,,Calculation,,Closed Source / Commercial,No,United Kingdom,,,,Draft,Gael Duez,2024-03-15,,,,,,,,,0
EcoCode,Fondation Ecocode,https://ecocode.io,,Not Applicable,,BestPractices,"Software - Backend,Software - Mobile Apps","Feature,Application,Request (HTTP),Network Traffic",,,,Not Applicable,Eco-design,Eco-design,Open-Source (GPLv3),Yes,France,,,Fully Disclosed,Draft,Gaël Duez,2023-12-18,,,,,,,,,0
Ecobenchmark-applicationweb-backend,Boavizta,https://github.com/Boavizta/ecobenchmark-applicationweb-backend,,Final Energy (J/Wh),,"Evaluation,Measure","Software - Backend,Software - Development tools,Software - API,Software - Web Apps","Application,Feature,Request (HTTP),User Story",,,,"Usage,Manufacturing",Eco-design,"Reporting,Calculation,Awareness,Eco-design",Open-Source (AGPLv3),Yes,France,,,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
Green Web Directory,Green Web Foundation,https://app.greenweb.org/directory/,,GWP (CO2eq),Green Web Directory is a searchable list of verified green hosting providers which enables people to quickly find organisations they can buy services from.,Evaluation,Infra - Datacenter,Website,,,,Usage,Reporting,Awareness,Open-Source (Apache 2.0),Yes,European Union,,,Fully Disclosed,Draft,Gaël Duez,2024-02-02,,,,,,,,,0
